"run","baseline_total_loss","cull_total_loss","direct_cull_loss","net_loss_avoided","baseline_farms_affected","cull_farms_affected","baseline_farms_lost","cull_farms_lost","farms_culled"
1,139545.676689967,2735.29030897105,2735.29030897105,136810.386380996,139,3,139,3,3
2,149846.797457096,2783.39574026981,2783.39574026981,147063.401716826,150,3,150,3,3
3,139545.676689967,3523.82443404878,3523.82443404878,136021.852255918,139,3,139,3,3
4,146862.743145672,7822.61609249942,5641.25871499471,139040.127053172,147,8,147,8,6
5,123974.954778717,105813.648378277,84501.2999403075,18161.3064004404,124,105,124,105,84
6,113673.834011589,107024.311518118,83139.5840935701,6649.52249347033,113,106,113,106,82
7,113673.834011589,2547.79251106419,2547.79251106419,111126.041500525,113,3,113,3,3
8,113673.834011589,3211.19567407121,3211.19567407121,110462.638337518,113,3,113,3,3
9,113673.834011589,21605.2555846559,18681.5350303258,92068.5784269329,113,21,113,21,18
10,113673.834011589,3063.53245091119,3063.53245091119,110610.301560678,113,3,113,3,3
11,139545.676689967,3215.96933359051,3215.96933359051,136329.707356377,139,3,139,3,3
12,123974.954778717,9079.47593806423,6898.11856055952,114895.478840653,124,9,124,9,7
13,113673.834011589,3267.82203107114,3267.82203107114,110406.011980518,113,3,113,3,3
14,113673.834011589,92552.2142094816,76805.512355347,21121.6198021072,113,91,113,91,76
15,139545.676689967,3108.26326947566,3108.26326947566,136437.413420492,139,3,139,3,3
16,113673.834011589,2878.49102873737,2878.49102873737,110795.342982851,113,3,113,3,3
17,113673.834011589,8760.21874861158,6952.42780902599,104913.615262977,113,9,113,9,7
18,113673.834011589,110743.272203174,89213.4433029487,2930.56180841511,113,110,113,110,89
19,139545.676689967,2933.74645925031,2933.74645925031,136611.930230717,139,3,139,3,3
20,113673.834011589,94013.3983559835,69002.2624766083,19660.4356556054,113,93,113,93,68
21,113673.834011589,2919.6899029698,2919.6899029698,110754.144108619,113,3,113,3,3
22,113673.834011589,110832.053207864,82635.3667110897,2841.78080372496,113,110,113,110,82
23,149846.797457096,82643.3518031086,70283.8330069814,67203.4456539871,150,82,150,82,70
24,113673.834011589,3289.0755145625,3289.0755145625,110384.758497026,113,3,113,3,3
25,146862.743145672,7989.90096143871,5861.88684764757,138872.842184233,147,8,147,8,6
26,149846.797457096,115243.492850169,86538.8209397149,34603.3046069269,150,115,150,115,87
27,123974.954778717,108757.652913734,84471.7328552804,15217.3018649833,124,108,124,108,84
28,139545.676689967,2798.60460987904,2798.60460987904,136747.072080088,139,3,139,3,3
29,113673.834011589,22953.4629741412,20140.0754203994,90720.3710374477,113,23,113,23,20
30,136561.622378543,2786.67445241635,2786.67445241635,133774.947926127,136,3,136,3,3
31,123974.954778717,117984.203452516,86798.4741962343,5990.75132620164,124,118,124,118,86
32,113673.834011589,6995.78094129637,5862.88122115661,106678.053070292,113,7,113,7,6
33,113673.834011589,3368.97696455144,3368.97696455144,110304.857047037,113,3,113,3,3
