"id","lon","lat","barrier_group","region","production_type","is_sheltered","production_yield","times_selected_as_start","probability_affected_pct","probability_lost_pct","probability_culled_pct","expected_loss_contribution"
"FARM-001",173.962742063801,-38.9448627094577,"North Island","Taranaki","Eggs",TRUE,1065.16831879962,8,27.8,27.8,23,296.116792626294
"FARM-002",176.424938936262,-37.7468887867531,"North Island","Bay of Plenty","Eggs",TRUE,900.164964723009,8,30.6,30.6,23.2,275.450479205241
"FARM-003",175.362523875267,-37.8705786340025,"North Island","Waikato","Meat",TRUE,1067.49041951048,9,31.4,31.4,24.6,335.191991726291
"FARM-004",174.718795813578,-36.8007406138158,"North Island","Auckland","Meat",FALSE,917.793930482177,8,30.6,30.4,26.2,279.009354866582
"FARM-005",176.264220336721,-37.6199241662668,"North Island","Bay of Plenty","Eggs",TRUE,1278.54053681218,7,30.2,30,22.8,383.562161043654
"FARM-006",175.141330704708,-37.814312529155,"North Island","Waikato","Eggs",FALSE,1060.31171816736,7,30.4,30.4,21.6,322.334762322877
"FARM-007",175.791069961567,-40.3187518823078,"North Island","Manawatu","Eggs",FALSE,720.309522165914,7,19.2,19.2,16.4,138.299428255855
"FARM-008",174.641340460769,-41.2401834690641,"North Island","Wellington","Eggs",TRUE,1206.2395780709,12,9.4,9.2,7,110.974041182523
"FARM-009",174.573182582775,-36.8132320885377,"North Island","Auckland","Meat",TRUE,988.809474168944,13,29.6,29.4,23,290.70998540567
"FARM-010",176.163370248973,-37.747060286919,"North Island","Bay of Plenty","Eggs",FALSE,1034.16908495675,12,31.4,31.4,25.6,324.72909267642
"FARM-011",175.381903179524,-37.7161183482286,"North Island","Waikato","Meat",TRUE,1208.298428985,10,30.6,30.6,23.8,369.73931926941
"FARM-012",174.0786683933,-39.2868291325665,"North Island","Taranaki","Eggs",FALSE,1060.87331910256,15,31.6,31.6,24.8,335.235968836409
"FARM-013",174.668762340186,-36.7885958959948,"North Island","Auckland","Meat",TRUE,1384.20513980231,11,29.8,29.8,23.6,412.493131661088
"FARM-014",174.921095910201,-41.2496364194,"North Island","Wellington","Meat",FALSE,921.049814530938,11,14.2,14.2,12,130.789073663393
"FARM-015",175.569733965084,-37.5848420673301,"North Island","Waikato","Eggs",TRUE,1052.8611090656,10,31,31,22,326.386943810336
"FARM-016",172.404978467813,-43.5036755012785,"South Island","Canterbury","Eggs",TRUE,1071.2741711937,5,9.8,9.8,8,104.984868776983
"FARM-017",175.786830787212,-40.3489578810553,"North Island","Manawatu","Meat",TRUE,1118.7857662764,13,16.6,16.6,12.6,185.718437201882
"FARM-018",175.22301392462,-37.6704236378713,"North Island","Waikato","Meat",FALSE,1124.69065445512,13,31.8,31.8,26,357.651628116728
