"id","lon","lat","barrier_group","region","production_type","is_sheltered","production_yield","times_selected_as_start","probability_affected_pct","probability_lost_pct","expected_loss_contribution"
"FARM-001",173.962742063801,-38.9448627094577,"North Island","Taranaki","Eggs",TRUE,1065.16831879962,8,97.6,97.6,1039.60427914843
"FARM-002",176.424938936262,-37.7468887867531,"North Island","Bay of Plenty","Eggs",TRUE,900.164964723009,8,97.6,97.6,878.561005569657
"FARM-003",175.362523875267,-37.8705786340025,"North Island","Waikato","Meat",TRUE,1067.49041951048,9,97.6,97.6,1041.87064944223
"FARM-004",174.718795813578,-36.8007406138158,"North Island","Auckland","Meat",FALSE,917.793930482177,8,97.6,97.6,895.766876150605
"FARM-005",176.264220336721,-37.6199241662668,"North Island","Bay of Plenty","Eggs",TRUE,1278.54053681218,7,97.6,97.6,1247.85556392869
"FARM-006",175.141330704708,-37.814312529155,"North Island","Waikato","Eggs",FALSE,1060.31171816736,7,97.6,97.6,1034.86423693134
"FARM-007",175.791069961567,-40.3187518823078,"North Island","Manawatu","Eggs",FALSE,720.309522165914,7,97.6,97.6,703.022093633932
"FARM-008",174.641340460769,-41.2401834690641,"North Island","Wellington","Eggs",TRUE,1206.2395780709,12,97.6,97.6,1177.2898281972
"FARM-009",174.573182582775,-36.8132320885377,"North Island","Auckland","Meat",TRUE,988.809474168944,13,97.6,97.6,965.078046788889
"FARM-010",176.163370248973,-37.747060286919,"North Island","Bay of Plenty","Eggs",FALSE,1034.16908495675,12,97.6,97.6,1009.34902691779
"FARM-011",175.381903179524,-37.7161183482286,"North Island","Waikato","Meat",TRUE,1208.298428985,10,97.6,97.6,1179.29926668936
"FARM-012",174.0786683933,-39.2868291325665,"North Island","Taranaki","Eggs",FALSE,1060.87331910256,15,97.6,97.6,1035.4123594441
"FARM-013",174.668762340186,-36.7885958959948,"North Island","Auckland","Meat",TRUE,1384.20513980231,11,97.6,97.6,1350.98421644705
"FARM-014",174.921095910201,-41.2496364194,"North Island","Wellington","Meat",FALSE,921.049814530938,11,97.6,97.6,898.944618982195
"FARM-015",175.569733965084,-37.5848420673301,"North Island","Waikato","Eggs",TRUE,1052.8611090656,10,97.6,97.6,1027.59244244803
"FARM-016",172.404978467813,-43.5036755012785,"South Island","Canterbury","Eggs",TRUE,1071.2741711937,5,42.6,42.6,456.362796928516
"FARM-017",175.786830787212,-40.3489578810553,"North Island","Manawatu","Meat",TRUE,1118.7857662764,13,97.6,97.6,1091.93490788577
"FARM-018",175.22301392462,-37.6704236378713,"North Island","Waikato","Meat",FALSE,1124.69065445512,13,97.6,97.6,1097.6980787482
"FARM-019",174.877740518054,-36.7766690486367,"North Island","Auckland","Eggs",TRUE,1082.30468947694,10,97.6,97.6,1056.32937692949
"FARM-020",175.061077373656,-37.7904511691542,"North Island","Waikato","Eggs",FALSE,813.658752860798,9,97.6,97.6,794.130942792139
"FARM-021",172.608726701918,-43.5321215499595,"South Island","Canterbury","Eggs",TRUE,937.994450223477,8,42.6,42.6,399.585635795201
"FARM-022",172.524938562491,-43.5161498267018,"South Island","Canterbury","Meat",TRUE,1010.65580280421,13,42.6,42.6,430.539371994593
"FARM-023",174.701164514792,-36.9570127069953,"North Island","Auckland","Meat",TRUE,925.859227289247,8,97.6,97.6,903.638605834305
"FARM-024",175.150724394368,-37.6663937933023,"North Island","Waikato","Eggs",TRUE,1048.32149019905,4,97.6,97.6,1023.16177443427
"FARM-025",172.684331109265,-43.5839810094735,"South Island","Canterbury","Eggs",TRUE,880.535629843644,5,42.6,42.6,375.108178313392
"FARM-026",175.425951977737,-37.8196228914656,"North Island","Waikato","Eggs",FALSE,1136.067442208,14,97.6,97.6,1108.80182359501
"FARM-027",172.580738811726,-43.461178119665,"South Island","Canterbury","Eggs",TRUE,1031.1308725522,5,42.6,42.6,439.261751707237
"FARM-028",175.252665833483,-37.8299007303728,"North Island","Waikato","Meat",TRUE,1082.17636075071,6,97.6,97.6,1056.20412809269
"FARM-029",175.146602133554,-37.8003484852849,"North Island","Waikato","Meat",TRUE,966.745707355009,6,97.6,97.6,943.543810378489
"FARM-030",176.289499970729,-37.5370465959405,"North Island","Bay of Plenty","Meat",FALSE,897.730422673299,18,97.6,97.6,876.18489252914
"FARM-031",174.387419466914,-35.7834636458449,"North Island","Northland","Eggs",TRUE,1218.97856046086,13,97.6,97.6,1189.7230750098
"FARM-032",175.092286573218,-37.8126854589098,"North Island","Waikato","Meat",FALSE,870.6238168617,10,97.6,97.6,849.728845257019
"FARM-033",177.087729242293,-39.3398915907267,"North Island","Hawke's Bay","Meat",FALSE,879.942421726335,8,97.6,97.6,858.823803604903
"FARM-034",175.139695381987,-37.8242463482379,"North Island","Waikato","Eggs",FALSE,897.228705129525,13,97.6,97.6,875.695216206416
"FARM-035",176.043758375504,-37.7453727556011,"North Island","Bay of Plenty","Eggs",FALSE,1273.19839511602,11,97.6,97.6,1242.64163363324
"FARM-036",172.463378537021,-43.5042373129301,"South Island","Canterbury","Meat",TRUE,984.288366910572,12,42.6,42.6,419.306844303904
"FARM-037",175.136787569508,-37.7286878241348,"North Island","Waikato","Meat",TRUE,1166.72117901921,6,97.6,97.6,1138.71987072275
"FARM-038",175.568242469037,-40.4252287366778,"North Island","Manawatu","Eggs",TRUE,845.871685858879,8,97.6,97.6,825.570765398266
"FARM-039",176.973938705178,-39.5038281029087,"North Island","Hawke's Bay","Eggs",TRUE,936.381462531146,8,97.6,97.6,913.908307430399
"FARM-040",172.554681370898,-43.5423638001869,"South Island","Canterbury","Eggs",FALSE,976.127587273332,9,42.6,42.6,415.830352178439
"FARM-041",172.616121303484,-43.6264705216383,"South Island","Canterbury","Eggs",FALSE,1098.7256262959,7,42.6,42.6,468.057116802053
"FARM-042",174.286235201178,-35.7180956815985,"North Island","Northland","Eggs",TRUE,954.480316527686,16,97.6,97.6,931.572788931022
"FARM-043",172.780511153025,-43.3608307646801,"South Island","Canterbury","Meat",FALSE,1104.4844202824,11,42.6,42.6,470.510363040302
"FARM-044",172.91464798231,-43.4414190928526,"South Island","Canterbury","Eggs",TRUE,1016.91583922396,11,42.6,42.6,433.206147509407
"FARM-045",175.15173720626,-37.8629930145483,"North Island","Waikato","Eggs",FALSE,1027.03848420984,11,97.6,97.6,1002.3895605888
"FARM-046",175.508744502627,-37.7548115316902,"North Island","Waikato","Meat",TRUE,1318.18066460761,7,97.6,97.6,1286.54432865703
"FARM-047",168.605815726217,-46.434733089326,"South Island","Southland","Meat",FALSE,898.413226347708,11,28.4,28.4,255.149356282749
"FARM-048",174.787774763562,-36.8663591831723,"North Island","Auckland","Meat",FALSE,1146.29194553264,14,97.6,97.6,1118.78093883986
"FARM-049",175.717633488539,-40.2727639439792,"North Island","Manawatu","Eggs",FALSE,1164.60079280896,10,97.6,97.6,1136.65037378155
