"farm_id","longitude","latitude","island","region","production_type","is_sheltered","production_yield"
"FARM-001",173.962742063801,-38.9448627094577,"North Island","Taranaki","Eggs",TRUE,1065.16831879962
"FARM-002",176.424938936262,-37.7468887867531,"North Island","Bay of Plenty","Eggs",TRUE,900.164964723009
"FARM-003",175.362523875267,-37.8705786340025,"North Island","Waikato","Meat",TRUE,1067.49041951048
"FARM-004",174.718795813578,-36.8007406138158,"North Island","Auckland","Meat",FALSE,917.793930482177
"FARM-005",176.264220336721,-37.6199241662668,"North Island","Bay of Plenty","Eggs",TRUE,1278.54053681218
"FARM-006",175.141330704708,-37.814312529155,"North Island","Waikato","Eggs",FALSE,1060.31171816736
"FARM-007",175.791069961567,-40.3187518823078,"North Island","Manawatu","Eggs",FALSE,720.309522165914
"FARM-008",174.641340460769,-41.2401834690641,"North Island","Wellington","Eggs",TRUE,1206.2395780709
"FARM-009",174.573182582775,-36.8132320885377,"North Island","Auckland","Meat",TRUE,988.809474168944
"FARM-010",176.163370248973,-37.747060286919,"North Island","Bay of Plenty","Eggs",FALSE,1034.16908495675
"FARM-011",175.381903179524,-37.7161183482286,"North Island","Waikato","Meat",TRUE,1208.298428985
"FARM-012",174.0786683933,-39.2868291325665,"North Island","Taranaki","Eggs",FALSE,1060.87331910256
"FARM-013",174.668762340186,-36.7885958959948,"North Island","Auckland","Meat",TRUE,1384.20513980231
"FARM-014",174.921095910201,-41.2496364194,"North Island","Wellington","Meat",FALSE,921.049814530938
"FARM-015",175.569733965084,-37.5848420673301,"North Island","Waikato","Eggs",TRUE,1052.8611090656
"FARM-016",172.404978467813,-43.5036755012785,"South Island","Canterbury","Eggs",TRUE,1071.2741711937
"FARM-017",175.786830787212,-40.3489578810553,"North Island","Manawatu","Meat",TRUE,1118.7857662764
"FARM-018",175.22301392462,-37.6704236378713,"North Island","Waikato","Meat",FALSE,1124.69065445512
"FARM-019",174.877740518054,-36.7766690486367,"North Island","Auckland","Eggs",TRUE,1082.30468947694
"FARM-020",175.061077373656,-37.7904511691542,"North Island","Waikato","Eggs",FALSE,813.658752860798
"FARM-021",172.608726701918,-43.5321215499595,"South Island","Canterbury","Eggs",TRUE,937.994450223477
"FARM-022",172.524938562491,-43.5161498267018,"South Island","Canterbury","Meat",TRUE,1010.65580280421
"FARM-023",174.701164514792,-36.9570127069953,"North Island","Auckland","Meat",TRUE,925.859227289247
"FARM-024",175.150724394368,-37.6663937933023,"North Island","Waikato","Eggs",TRUE,1048.32149019905
"FARM-025",172.684331109265,-43.5839810094735,"South Island","Canterbury","Eggs",TRUE,880.535629843644
"FARM-026",175.425951977737,-37.8196228914656,"North Island","Waikato","Eggs",FALSE,1136.067442208
"FARM-027",172.580738811726,-43.461178119665,"South Island","Canterbury","Eggs",TRUE,1031.1308725522
"FARM-028",175.252665833483,-37.8299007303728,"North Island","Waikato","Meat",TRUE,1082.17636075071
"FARM-029",175.146602133554,-37.8003484852849,"North Island","Waikato","Meat",TRUE,966.745707355009
"FARM-030",176.289499970729,-37.5370465959405,"North Island","Bay of Plenty","Meat",FALSE,897.730422673299
"FARM-031",174.387419466914,-35.7834636458449,"North Island","Northland","Eggs",TRUE,1218.97856046086
"FARM-032",175.092286573218,-37.8126854589098,"North Island","Waikato","Meat",FALSE,870.6238168617
"FARM-033",177.087729242293,-39.3398915907267,"North Island","Hawke's Bay","Meat",FALSE,879.942421726335
"FARM-034",175.139695381987,-37.8242463482379,"North Island","Waikato","Eggs",FALSE,897.228705129525
"FARM-035",176.043758375504,-37.7453727556011,"North Island","Bay of Plenty","Eggs",FALSE,1273.19839511602
"FARM-036",172.463378537021,-43.5042373129301,"South Island","Canterbury","Meat",TRUE,984.288366910572
"FARM-037",175.136787569508,-37.7286878241348,"North Island","Waikato","Meat",TRUE,1166.72117901921
"FARM-038",175.568242469037,-40.4252287366778,"North Island","Manawatu","Eggs",TRUE,845.871685858879
"FARM-039",176.973938705178,-39.5038281029087,"North Island","Hawke's Bay","Eggs",TRUE,936.381462531146
"FARM-040",172.554681370898,-43.5423638001869,"South Island","Canterbury","Eggs",FALSE,976.127587273332
"FARM-041",172.616121303484,-43.6264705216383,"South Island","Canterbury","Eggs",FALSE,1098.7256262959
