"island","cluster","truck_brand","trucks","total_cargo_t","mean_cargo_t","mean_silhouette"
"North Island","N1","Fiat",1,4.7,4.7,NA
"North Island","N1","Scania",3,45.6,15.2,NA
"North Island","N10","Fiat",2,32.4,16.2,NA
"North Island","N10","Scania",2,34.5,17.25,NA
"North Island","N2","Fiat",23,284.8,12.3826086956522,NA
"North Island","N2","Scania",13,223,17.1538461538462,NA
"North Island","N3","Fiat",7,143.2,20.4571428571429,NA
"North Island","N3","Scania",8,98.6,12.325,NA
"North Island","N4","Fiat",2,41.7,20.85,NA
"North Island","N4","Scania",3,47.2,15.7333333333333,NA
"North Island","N5","Fiat",1,22.9,22.9,NA
"North Island","N5","Scania",3,33.8,11.2666666666667,NA
"North Island","N6","Fiat",3,48.2,16.0666666666667,NA
"North Island","N6","Scania",2,17.4,8.7,NA
"North Island","N7","Scania",2,32.2,16.1,NA
"North Island","N8","Fiat",2,16.4,8.2,NA
"North Island","N8","Scania",5,84.1,16.82,NA
"North Island","N9","Fiat",2,18.9,9.45,NA
"North Island","N9","Scania",2,42.4,21.2,NA
"South Island","S1","Fiat",5,65.5,13.1,NA
"South Island","S1","Scania",5,68.5,13.7,NA
"South Island","S2","Fiat",7,54,7.71428571428571,NA
"South Island","S2","Scania",8,126,15.75,NA
"South Island","S3","Fiat",1,13.6,13.6,NA
"South Island","S3","Scania",5,85.8,17.16,NA
"South Island","S4","Fiat",1,23.9,23.9,NA
"South Island","S4","Scania",2,15.1,7.55,NA
