"truck_id","island","home_region","latitude","longitude","cargo_t","truck_brand","truck_age","cluster","cluster_number","silhouette_width"
"TRK-001","North Island","Napier",-39.5061470690813,176.811218124324,12.8,"Scania","Old","N1","1",NA
"TRK-002","South Island","Dunedin",-45.8612670100351,170.673450557638,16.3,"Scania","Old","S1","1",NA
"TRK-003","North Island","Auckland",-36.8688788612672,174.796868192352,12.5,"Fiat","Old","N2","2",NA
"TRK-004","South Island","Christchurch",-43.5611207188092,172.768822210991,18,"Scania","Old","S2","2",NA
"TRK-005","South Island","Dunedin",-46.0514397034249,170.531027247102,7.9,"Scania","Old","S1","1",NA
"TRK-006","North Island","Auckland",-36.8762728331733,174.842742601392,7.5,"Fiat","Old","N2","2",NA
"TRK-007","North Island","Wellington",-41.4659929481697,174.963978502538,20.6,"Fiat","New","N3","3",NA
"TRK-008","South Island","Invercargill",-46.2977259023197,168.439551167097,16.5,"Scania","Old","S3","3",NA
"TRK-009","South Island","Christchurch",-43.6323319485592,172.685780484544,8,"Fiat","New","S2","2",NA
"TRK-010","South Island","Dunedin",-45.8631789955707,170.415290524128,21.2,"Fiat","New","S1","1",NA
"TRK-011","North Island","Auckland",-36.7970503319251,174.838462474529,8.5,"Scania","Old","N2","2",NA
"TRK-012","North Island","Napier",-39.4914563705524,176.858150186811,14.4,"Scania","New","N1","1",NA
"TRK-013","North Island","Auckland",-36.7142979165346,175.046465518101,7.9,"Fiat","New","N2","2",NA
"TRK-014","South Island","Invercargill",-46.4977033417296,168.398571493675,16.8,"Scania","New","S3","3",NA
"TRK-015","North Island","Auckland",-36.8046601982684,174.659256793952,23,"Fiat","New","N2","2",NA
"TRK-016","South Island","Christchurch",-43.6297149468323,172.850334701613,16.2,"Scania","Old","S2","2",NA
"TRK-017","North Island","Hamilton",-37.5745508864486,175.219199335485,18.2,"Scania","Old","N4","4",NA
"TRK-018","North Island","Auckland",-36.7802301039438,174.556758771481,16,"Fiat","Old","N2","2",NA
"TRK-019","South Island","Christchurch",-43.566336822018,172.501160962371,18.5,"Fiat","New","S2","2",NA
"TRK-020","North Island","Auckland",-36.7704830527326,174.768414976565,4.2,"Fiat","New","N2","2",NA
"TRK-021","South Island","Christchurch",-43.647557746077,172.580836570928,4.5,"Fiat","New","S2","2",NA
"TRK-022","South Island","Christchurch",-43.3811083653607,172.696616849199,14.2,"Scania","New","S2","2",NA
"TRK-023","North Island","Auckland",-36.9645496160257,174.733184241812,11,"Fiat","Old","N2","2",NA
"TRK-024","North Island","Auckland",-37.0046811810207,174.521594912721,17.5,"Scania","New","N2","2",NA
"TRK-025","North Island","Wellington",-41.2915247925224,174.738342357512,21.5,"Fiat","Old","N3","3",NA
"TRK-026","North Island","Auckland",-36.7640806837297,174.992728360923,11,"Fiat","Old","N2","2",NA
"TRK-027","North Island","Wellington",-41.2871096722504,174.718451223351,22.4,"Fiat","New","N3","3",NA
"TRK-028","North Island","Auckland",-36.9250313831781,174.68644762774,21.9,"Scania","New","N2","2",NA
"TRK-029","North Island","Auckland",-36.7314200748324,174.747323526414,4.4,"Fiat","Old","N2","2",NA
"TRK-030","South Island","Dunedin",-45.6365550290965,170.717897966642,23.1,"Scania","Old","S1","1",NA
"TRK-031","North Island","Gisborne",-38.8578512768226,177.904723906078,4.2,"Scania","New","N5","5",NA
"TRK-032","North Island","Auckland",-36.701641010657,174.864486875212,13.1,"Fiat","Old","N2","2",NA
"TRK-033","North Island","Rotorua",-38.1844883961499,176.169195876989,5.7,"Scania","New","N6","6",NA
"TRK-034","North Island","Auckland",-36.7508829016214,174.72041312953,21.6,"Scania","New","N2","2",NA
"TRK-035","South Island","Dunedin",-46.0604355219537,170.456821917933,5.7,"Fiat","New","S1","1",NA
"TRK-036","North Island","Wellington",-41.3120610817352,174.877521429668,19.1,"Fiat","Old","N3","3",NA
"TRK-037","North Island","Auckland",-36.9448845312574,174.842127122332,19.4,"Scania","New","N2","2",NA
"TRK-038","North Island","Hamilton",-37.8360295710066,175.418903272272,16.7,"Scania","Old","N4","4",NA
"TRK-039","North Island","Rotorua",-38.2447296713601,176.387522494801,17.5,"Fiat","Old","N6","6",NA
"TRK-040","North Island","Wellington",-41.2490574089456,175.057014033668,14.7,"Scania","New","N3","3",NA
"TRK-041","North Island","Wellington",-41.1643733518861,174.785159342667,23.2,"Fiat","Old","N3","3",NA
"TRK-042","South Island","Invercargill",-46.4623843235614,168.024420721453,17.3,"Scania","Old","S3","3",NA
"TRK-043","North Island","Wellington",-41.3087784720977,174.705626561186,15.5,"Scania","Old","N3","3",NA
"TRK-044","North Island","Wellington",-41.3971648887047,174.67512785544,14.1,"Fiat","New","N3","3",NA
"TRK-045","North Island","Auckland",-36.749416691059,174.724525795629,11.3,"Scania","New","N2","2",NA
"TRK-046","North Island","Auckland",-36.7928171109054,174.912678477705,22.6,"Scania","New","N2","2",NA
"TRK-047","North Island","Gisborne",-38.8184278556516,177.944044577221,22.9,"Fiat","New","N5","5",NA
"TRK-048","South Island","Christchurch",-43.3838922980895,172.532247775797,14.1,"Scania","New","S2","2",NA
"TRK-049","North Island","Hamilton",-37.9039205150112,175.343037202039,19.6,"Fiat","Old","N4","4",NA
"TRK-050","North Island","Auckland",-36.9542013537466,174.854098583853,10.9,"Fiat","New","N2","2",NA
"TRK-051","North Island","Whangarei",-35.8721845524829,174.291393712098,19.2,"Scania","New","N7","7",NA
"TRK-052","North Island","Tauranga",-37.8063436920764,176.218622553,17.6,"Scania","New","N8","8",NA
"TRK-053","North Island","New Plymouth",-39.0897979424692,174.140761490217,21.2,"Scania","Old","N9","9",NA
"TRK-054","South Island","Queenstown",-44.9777177456851,168.709798284901,4.1,"Scania","New","S4","4",NA
"TRK-055","North Island","Hamilton",-37.8580988575851,175.204821627005,12.3,"Scania","New","N4","4",NA
"TRK-056","North Island","Napier",-39.5118989137632,177.008046147303,4.7,"Fiat","Old","N1","1",NA
"TRK-057","North Island","Rotorua",-38.1651373323518,175.954122127664,16.8,"Fiat","Old","N6","6",NA
"TRK-058","North Island","Auckland",-36.7319073724795,174.842825335207,14.8,"Scania","New","N2","2",NA
"TRK-059","North Island","New Plymouth",-38.826126681408,174.12847265478,21.2,"Scania","New","N9","9",NA
"TRK-060","North Island","Auckland",-36.9558856614499,175.029705312471,23.6,"Fiat","New","N2","2",NA
"TRK-061","South Island","Christchurch",-43.3413795811438,172.671221848338,4.5,"Fiat","Old","S2","2",NA
"TRK-062","South Island","Queenstown",-44.8178202281521,168.676354754628,11,"Scania","Old","S4","4",NA
"TRK-063","South Island","Dunedin",-45.8548543636985,170.658449270767,14.1,"Scania","Old","S1","1",NA
"TRK-064","North Island","Wellington",-41.1963054262173,174.871330236772,7.6,"Scania","New","N3","3",NA
"TRK-065","North Island","Wellington",-41.4598792712352,174.7754134801,7.8,"Scania","Old","N3","3",NA
"TRK-066","North Island","Auckland",-36.8021152059864,174.760241985053,12.2,"Fiat","New","N2","2",NA
"TRK-067","North Island","Tauranga",-37.7414147673198,176.183005225288,7.7,"Fiat","New","N8","8",NA
"TRK-068","North Island","Wellington",-41.3025414153808,174.636883480906,22.3,"Fiat","Old","N3","3",NA
"TRK-069","South Island","Dunedin",-45.8227833437427,170.663688068707,8.4,"Fiat","Old","S1","1",NA
"TRK-070","North Island","Tauranga",-37.5836669788396,176.094824687684,19.5,"Scania","New","N8","8",NA
"TRK-071","South Island","Invercargill",-46.4176178804784,168.315490241095,16.8,"Scania","Old","S3","3",NA
"TRK-072","North Island","Wellington",-41.0221292687404,174.865468444435,20.6,"Scania","New","N3","3",NA
"TRK-073","North Island","Rotorua",-38.0780994250775,176.197129050515,13.9,"Fiat","Old","N6","6",NA
"TRK-074","South Island","Invercargill",-46.4332377334229,168.34054696913,13.6,"Fiat","New","S3","3",NA
